Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived
62a80a6db0e9aa21ed351cd9,Sign up,https://trello.com/c/kuFdZ4lv/48-sign-up,"As a new user 
I want to create an account
 So that I can sign in the website",,,,1,https://trello.com/1/cards/62a80a6db0e9aa21ed351cd9/attachments/62a80c0846aa5f6fa8ce58ef/download/Sign_up.png,6,0,0,0,2022-06-14T07:38:09.140Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a6b48d79c06b434c821bae,Home Page (Event's details),https://trello.com/c/V6ie0xFe/25-home-page-events-details,,,,,1,https://trello.com/1/cards/62a6b48d79c06b434c821bae/attachments/62a6b4d95f0d488a84249f39/download/Capture.PNG,0,0,0,0,2022-06-14T02:54:40.883Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,true
62a6b4971409768b3c5706cf,Home Page (Search bar),https://trello.com/c/41SB3R8j/26-home-page-search-bar,,,,,1,https://trello.com/1/cards/62a6b4971409768b3c5706cf/attachments/62a6b50661999e07f562c68b/download/Capture.PNG,0,0,0,0,2022-06-14T02:54:43.278Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,true
62a6b541400f4082ad8ddaf6,Update events,https://trello.com/c/kWXCVJIQ/27-update-events,,,,,1,https://trello.com/1/cards/62a6b541400f4082ad8ddaf6/attachments/62a6b58fc517cc3dd6a25872/download/image.png,0,0,0,0,2022-06-14T02:54:44.908Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,true
62a6b5c4f717581c0a7145fa,Delete events,https://trello.com/c/QQ4XPFMT/28-delete-events,,,,,1,https://trello.com/1/cards/62a6b5c4f717581c0a7145fa/attachments/62a6b5eef5487328a6933fcb/download/image.png,0,0,0,0,2022-06-14T02:54:48.712Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,true
62a705567b1e2375305e56d3,Sign In,https://trello.com/c/ZUl7BQg7/31-sign-in,"As a Registered user
I want to sign in to the system
So that I can start using the application",,,,1,https://trello.com/1/cards/62a705567b1e2375305e56d3/attachments/62a80c2936ef501259d4ebe0/download/Sign_in.png,7,0,0,0,2022-06-14T04:18:49.847Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a6b605bad7125299325a4b,new,https://trello.com/c/HxDwrFzu/29-new,,,,,0,,0,0,0,0,2022-06-13T06:44:06.560Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,true
62a7076df266bd431acb500b,Forgot password,https://trello.com/c/tdlbVe3t/32-forgot-password,"As a registered user
I want to have an option to reset my password
So that I can login again to the application",,,,1,https://trello.com/1/cards/62a7076df266bd431acb500b/attachments/62a80c4c6845a48d2f42542a/download/Forgot_password.png,3,0,0,0,2022-06-14T04:19:25.470Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a7086ef082c33f7007fcc3,Home Page,https://trello.com/c/jvDymPln/33-home-page,"As a user
I want to see my Home Page after logged in
So that I can start create event and interact with others",,,,1,https://trello.com/1/cards/62a7086ef082c33f7007fcc3/attachments/62a8081e77f4c726937566df/download/homepage.png,15,0,0,0,2022-06-14T08:19:39.340Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a6a0469e818842ac5e9d10,Create event,https://trello.com/c/1VPM2m7x/19-create-event,"As a user:
I want to post an event.
So that I can show my event to others",,lehongminh21,,1,https://trello.com/1/cards/62a6a0469e818842ac5e9d10/attachments/62a803a9c1935e84c42c1d5b/download/image.png,8,0,0,0,2022-06-14T08:01:31.872Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a7399ceb24bf13f1431679,Recommend people,https://trello.com/c/Dnewt5cz/37-recommend-people,"As a user
I want to look for the people with similar hobbies 
So that I can connect to recommend people
",,,,3,"https://trello.com/1/cards/62a7399ceb24bf13f1431679/attachments/62a7eb6560a95a59934a5113/download/image.png, https://trello.com/1/cards/62a7399ceb24bf13f1431679/attachments/62a7ebeb4199941c50bd7658/download/image.png, https://trello.com/1/cards/62a7399ceb24bf13f1431679/attachments/62a7ec5bfd4962258eb3fb88/download/image.png",4,0,0,0,2022-06-14T08:06:18.093Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a73a1807d8c24a4abf88a2,Keyword results,https://trello.com/c/bqvKdlY8/38-keyword-results,"As a user
I want to look for the people, events related to Hashtag
So that I can see people and events related",,,,1,https://trello.com/1/cards/62a73a1807d8c24a4abf88a2/attachments/62a7ec8e7f6be336c6a8be69/download/image.png,1,0,0,0,2022-06-14T04:06:10.635Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,true
62a763cee43390592fda4878,Home page (Notification),https://trello.com/c/lSnzSfDj/39-home-page-notification,"As a user 
I want to see notification
So that I can accept friend request or control my events ",,,,1,https://trello.com/1/cards/62a763cee43390592fda4878/attachments/62a7eb57f2fb208c7aedabea/download/homepage_notification.png,5,0,0,0,2022-06-14T08:12:19.951Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a7643611b1d583acc26e33,Home page (Today's Event details),https://trello.com/c/ZByPeEFf/40-home-page-todays-event-details,"As a user who applied events
I want to see details of events today
So that I can control my events or cancel them ",,,,1,https://trello.com/1/cards/62a7643611b1d583acc26e33/attachments/62a7ec16e812e1604bfff1be/download/homepage_eventdetails.png,3,0,0,0,2022-06-14T08:18:50.864Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a80b1012a4604609c0d480,Recommended keyword,https://trello.com/c/vO92rbks/51-recommended-keyword,"As an user 
I want to have the ability to choose my hobbies and personalities
 So that I can find friends with the same two ",,,,1,https://trello.com/1/cards/62a80b1012a4604609c0d480/attachments/62a80bbe56c2144859f33765/download/keyword.png,3,0,0,0,2022-06-14T04:38:24.138Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a76445934e7f53dd6f13a4,Home page (Search bar),https://trello.com/c/tfyHXJxm/41-home-page-search-bar,"As a user 
I want to search people and event related to my hobbies
So that I can make friend with others and join to my favorites events",,,,1,https://trello.com/1/cards/62a76445934e7f53dd6f13a4/attachments/62a7ec6800c7d88112881bd2/download/homepage_search_box.png,5,0,0,0,2022-06-14T08:22:19.304Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a7ef762828d96677691bc1,Update events,https://trello.com/c/SQTxVv0h/42-update-events,"As a user
I want to update an event
So that I can update new event's information",,,,1,https://trello.com/1/cards/62a7ef762828d96677691bc1/attachments/62a805502c1d9e66e4550aad/download/image.png,2,0,0,0,2022-06-14T08:28:03.689Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a7f043681bdf84f74cff3a,Delete events,https://trello.com/c/Q2Ht4QvX/43-delete-events,"As a user 
I want to delete the events that I don't want to organized
So that I can delete that",,,,2,"https://trello.com/1/cards/62a7f043681bdf84f74cff3a/attachments/62a8049a80158443c466689b/download/image.png, https://trello.com/1/cards/62a7f043681bdf84f74cff3a/attachments/62a804e17ebfa35443690c6e/download/image.png",3,0,0,0,2022-06-14T03:48:20.649Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a7f08614d05637aee2f694,"Search results (All, Event, People)",https://trello.com/c/dnPsqz92/44-search-results-all-event-people,"As a user
I want to look for the people, events related to keyword 
So that I can connect to recommend people and apply to event I care about",,,,1,https://trello.com/1/cards/62a7f08614d05637aee2f694/attachments/62a7f09f125c2425809aa526/download/image.png,6,0,0,0,2022-06-14T09:18:35.745Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a7f1010ad72b439e411589,Keyword results,https://trello.com/c/4Kb5KhyS/45-keyword-results,"As a user
I want to find the people, events related to hashtag which i have chosen 
So that I can approve to relevant event or people",,,,1,https://trello.com/1/cards/62a7f1010ad72b439e411589/attachments/62a7f8598ed5865d180f0a08/download/image.png,5,0,0,0,2022-06-14T08:31:25.763Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a7f14a62eab85d4094a673,Someone's events,https://trello.com/c/Pf2HJ1al/46-someones-events,"As a user
I want to see the information about other events
So that I can apply to my interesting events ",,,,1,https://trello.com/1/cards/62a7f14a62eab85d4094a673/attachments/62a806d93f3b26464d1f1872/download/image.png,4,0,0,0,2022-06-14T08:40:39.696Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a7ff85ff1efe446e597f91,Message page,https://trello.com/c/eXTVcdgO/47-message-page,"As a user, I want to have a messages page to control all my chat history with my friends",,,,2,"https://trello.com/1/cards/62a7ff85ff1efe446e597f91/attachments/62a8008d28f368112bd4c72b/download/image.png, https://trello.com/1/cards/62a7ff85ff1efe446e597f91/attachments/62a80108b0e97e46f18f11c8/download/image.png",6,0,0,0,2022-06-14T08:48:26.024Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a80af08f049776ee0c5af0,Profile,https://trello.com/c/VJ26EG7j/50-profile,"As a user 
I want to change my profile
So that I reset the new information
",,,,1,https://trello.com/1/cards/62a80af08f049776ee0c5af0/attachments/62a80b0cf95f1a2040977d78/download/image.png,4,0,0,0,2022-06-14T08:50:33.558Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a80a95af2ef61b76d08eea,Edit Profile,https://trello.com/c/ddhN6XDn/49-edit-profile,"As a user 
I want to check my profile 
So that I can have a profile completed
",,,,1,https://trello.com/1/cards/62a80a95af2ef61b76d08eea/attachments/62a80ac7ce44451576910b4e/download/image.png,6,0,0,0,2022-06-14T08:52:04.584Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a80b681722b27c462f6bbd,Update profile,https://trello.com/c/FRvH6ov6/52-update-profile,"As a user 
I want to find the hobby
So that I can look for the hobby I intersted
",,,,1,https://trello.com/1/cards/62a80b681722b27c462f6bbd/attachments/62a80b78377ebb1e492a0801/download/image.png,2,0,0,0,2022-06-14T08:51:52.014Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,true
62a80b9f42a7e52f01bb34cd,SO profile,https://trello.com/c/0mqsmMNg/53-so-profile,"As  a user
I want see other people's information
So that I can check the event which they attended 
",,,,1,https://trello.com/1/cards/62a80b9f42a7e52f01bb34cd/attachments/62a80bb28390267d05a34d4f/download/image.png,5,0,0,0,2022-06-14T08:54:55.864Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a7090054293c02d6e99cde,UI Design Concept,https://trello.com/c/YbWe2rN3/34-ui-design-concept,"As a Developer
I want to have all the Design concept of all elements in our application
So that when I develop a page, I can just use the design elements to make it consistent",,,,0,,3,0,0,0,2022-06-14T04:37:36.965Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a70a34adaa57133f7ea987,Database Model,https://trello.com/c/XB3l0lG0/35-database-model,"As a developer
I want to have the database model design with relationship between table
So that I can start developing backend",,,,0,,3,0,0,0,2022-06-14T04:37:26.864Z,62a1628610365309460e1b94,TO DO,62a1628610365309460e1b8c,Backlog,false
62a162ce6f63ad38f9908a4c,"Đăng ký (Nhập thông tin, chọn hobby)",https://trello.com/c/mX02NVcn/3-%C4%91%C4%83ng-k%C3%BD-nh%E1%BA%ADp-th%C3%B4ng-tin-ch%E1%BB%8Dn-hobby,,,,,0,,0,0,0,0,2022-06-14T04:21:29.693Z,62a1628610365309460e1b93,In Progress,62a1628610365309460e1b8c,Backlog,true
62a6b03565caa15243b3e110,Đăng nhập,https://trello.com/c/c96RklkL/23-%C4%91%C4%83ng-nh%E1%BA%ADp,,,,,0,,0,0,0,0,2022-06-14T04:21:31.410Z,62a1628610365309460e1b93,In Progress,62a1628610365309460e1b8c,Backlog,true
62a1628d52acac26ebc9c26b,asdasdsa,https://trello.com/c/BTyAYSqa/1-asdasdsa,,,,,0,,0,0,0,0,2022-06-09T03:25:27.085Z,62a1628610365309460e1b95,Done,62a1628610365309460e1b8c,Backlog,true
